item_id,historical_return_rate,avg_item_losses_30d,updated_at
ITEM-001,0.773956,623.1971,2026-03-21T02:00:00Z
ITEM-002,0.438878,107.6418,2026-02-12T23:00:00Z
ITEM-003,0.858598,428.8544,2026-03-30T15:00:00Z
ITEM-004,0.697368,411.3783,2026-03-10T12:00:00Z
ITEM-005,0.094177,686.0577,2026-02-28T13:00:00Z
ITEM-006,0.975622,370.2395,2026-03-23T07:00:00Z
ITEM-007,0.76114,308.0716,2026-02-16T08:00:00Z
ITEM-008,0.786064,511.6506,2026-03-06T20:00:00Z
ITEM-009,0.128114,213.1707,2026-01-26T15:00:00Z
ITEM-010,0.450386,111.8147,2026-03-28T16:00:00Z
ITEM-011,0.370798,382.3018,2026-02-26T02:00:00Z
ITEM-012,0.926765,333.5115,2026-03-12T09:00:00Z
ITEM-013,0.643865,186.056,2026-02-11T11:00:00Z
ITEM-014,0.822762,294.0094,2026-03-20T00:00:00Z
ITEM-015,0.443414,293.114,2026-01-07T16:00:00Z
ITEM-016,0.227239,261.9965,2026-01-11T06:00:00Z
ITEM-017,0.554585,303.5713,2026-02-15T15:00:00Z
ITEM-018,0.063817,548.5947,2026-03-07T22:00:00Z
ITEM-019,0.827631,237.5012,2026-03-14T19:00:00Z
ITEM-020,0.631664,759.0863,2026-02-09T14:00:00Z
ITEM-021,0.758088,733.0784,2026-02-28T11:00:00Z
ITEM-022,0.354526,384.7283,2026-02-19T18:00:00Z
ITEM-023,0.970698,262.689,2026-03-28T12:00:00Z
ITEM-024,0.893121,428.3478,2026-02-28T20:00:00Z
ITEM-025,0.778383,678.8484,2026-02-07T12:00:00Z
ITEM-026,0.194639,522.0699,2026-03-29T06:00:00Z
ITEM-027,0.466721,643.5135,2026-01-10T15:00:00Z
ITEM-028,0.043804,426.1778,2026-03-30T14:00:00Z
ITEM-029,0.154289,506.3341,2026-01-14T20:00:00Z
ITEM-030,0.683049,230.5245,2026-01-26T22:00:00Z
ITEM-031,0.744762,587.9145,2026-03-15T22:00:00Z
ITEM-032,0.96751,161.9237,2026-03-08T00:00:00Z
ITEM-033,0.325825,555.8385,2026-03-29T07:00:00Z
ITEM-034,0.37046,688.5753,2026-03-09T11:00:00Z
ITEM-035,0.469556,105.6823,2026-02-27T07:00:00Z
ITEM-036,0.189471,491.5038,2026-02-01T04:00:00Z
ITEM-037,0.129922,76.0766,2026-01-01T10:00:00Z
ITEM-038,0.475705,580.5725,2026-01-12T03:00:00Z
ITEM-039,0.226909,67.5946,2026-01-27T19:00:00Z
ITEM-040,0.669814,748.7519,2026-01-04T16:00:00Z
ITEM-041,0.437152,109.9263,2026-02-15T17:00:00Z
ITEM-042,0.832678,767.1042,2026-03-11T23:00:00Z
ITEM-043,0.700265,640.7073,2026-03-28T16:00:00Z
ITEM-044,0.312367,474.9456,2026-02-14T01:00:00Z
ITEM-045,0.83226,626.0993,2026-03-20T18:00:00Z
ITEM-046,0.804764,636.0919,2026-03-30T16:00:00Z
ITEM-047,0.387478,756.8217,2026-03-19T09:00:00Z
ITEM-048,0.288328,202.7067,2026-02-11T20:00:00Z
ITEM-049,0.682496,472.0607,2026-01-30T06:00:00Z
ITEM-050,0.139752,76.0394,2026-03-30T00:00:00Z
ITEM-051,0.199908,492.9326,2026-01-22T18:00:00Z
ITEM-052,0.007362,137.033,2026-02-07T01:00:00Z
ITEM-053,0.786924,451.9605,2026-01-07T15:00:00Z
ITEM-054,0.664851,457.9444,2026-03-13T10:00:00Z
ITEM-055,0.705165,372.7881,2026-02-28T11:00:00Z
ITEM-056,0.780729,418.1054,2026-01-08T15:00:00Z
ITEM-057,0.458916,611.1387,2026-01-20T23:00:00Z
ITEM-058,0.568741,639.3958,2026-02-19T23:00:00Z
ITEM-059,0.139797,393.7226,2026-02-18T15:00:00Z
ITEM-060,0.11453,479.6748,2026-03-14T04:00:00Z
ITEM-061,0.668403,744.989,2026-01-24T22:00:00Z
ITEM-062,0.471096,95.7869,2026-03-25T05:00:00Z
ITEM-063,0.565236,93.6829,2026-02-10T00:00:00Z
ITEM-064,0.764999,70.1672,2026-03-16T00:00:00Z
ITEM-065,0.634718,526.2906,2026-01-22T10:00:00Z
ITEM-066,0.553579,334.8866,2026-01-04T07:00:00Z
ITEM-067,0.559207,619.4571,2026-01-05T22:00:00Z
ITEM-068,0.30395,536.9851,2026-02-03T13:00:00Z
ITEM-069,0.030818,266.9102,2026-03-27T18:00:00Z
ITEM-070,0.436717,718.6932,2026-01-05T09:00:00Z
ITEM-071,0.214585,610.0257,2026-02-03T04:00:00Z
ITEM-072,0.408529,216.428,2026-01-10T20:00:00Z
ITEM-073,0.853403,291.3536,2026-03-25T20:00:00Z
ITEM-074,0.233939,251.552,2026-03-02T18:00:00Z
ITEM-075,0.058303,126.0893,2026-03-10T15:00:00Z
ITEM-076,0.281384,118.2267,2026-03-06T04:00:00Z
ITEM-077,0.293594,748.902,2026-03-01T03:00:00Z
ITEM-078,0.661917,350.3232,2026-03-11T15:00:00Z
